community,population,householdsize,racepctblack,racePctWhite,racePctAsian,racePctHisp,agePct12t21,agePct12t29,agePct16t24,agePct65up,numbUrban,pctUrban,medIncome,pctWWage,pctWFarmSelf,pctWInvInc,pctWSocSec,pctWPubAsst,pctWRetire,medFamInc,perCapInc,whitePerCap,blackPerCap,indianPerCap,AsianPerCap,OtherPerCap,HispPerCap,NumUnderPov,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,MalePctDivorce,MalePctNevMarr,FemalePctDiv,TotalPctDiv,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,NumIlleg,PctIlleg,NumImmig,PctImmigRecent,PctImmigRec5,PctImmigRec8,PctImmigRec10,PctRecentImmig,PctRecImmig5,PctRecImmig8,PctRecImmig10,PctSpeakEnglOnly,PctNotSpeakEnglWell,PctLargHouseFam,PctLargHouseOccup,PersPerOccupHous,PersPerOwnOccHous,PersPerRentOccHous,PctPersOwnOccup,PctPersDenseHous,PctHousLess3BR,MedNumBR,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,MedYrHousBuilt,PctHousNoPhone,PctWOFullPlumb,OwnOccLowQuart,OwnOccMedVal,OwnOccHiQuart,RentLowQ,RentMedian,RentHighQ,MedRent,MedRentPctHousInc,MedOwnCostPctInc,MedOwnCostPctIncNoMtg,NumInShelters,NumStreet,PctForeignBorn,PctBornSameState,PctSameHouse85,PctSameCity85,PctSameState85,LandArea,PopDens,PctUsePubTrans,ViolentCrimesPerPop
Morristownship,0.02,0.52,0.11,0.86,0.19,0.04,0.33,0.36,0.26,0.42,0.03,0.94,1,0.73,0.35,0.88,0.38,0.08,0.46,1,1,1,0.58,0.77,0.5,0.21,0.78,0,0.06,0.13,0.13,0.87,0.11,0.63,0.3,0.57,0.1,0.9,0.24,0.38,0.21,0.23,0.44,0.9,0.89,0.96,0.77,0.32,0.33,0,0.04,0.01,0.38,0.44,0.41,0.43,0.28,0.29,0.24,0.23,0.81,0.07,0.17,0.19,0.49,0.55,0.22,0.83,0.02,0.19,0.5,0.01,0.87,0.77,0.05,0.49,0.5,0.01,0.05,0.75,0.82,0.83,0.91,0.83,0.98,0.86,0.4,0.46,0.42,0.03,0,0.31,0.45,0.67,0.61,0.56,0.04,0.11,0.34,0.04
Pembertontownship,0.03,0.68,0.44,0.52,0.27,0.15,0.5,0.54,0.32,0.18,0,0,0.39,0.79,0.28,0.3,0.25,0.32,0.74,0.35,0.25,0.25,0.34,0.15,0.22,0.36,0.39,0.02,0.17,0.26,0.4,0.12,0.33,0.65,0.25,0.52,0.46,0.25,0.46,0.43,0.55,0.53,0.69,0.64,0.6,0.69,0.6,0.52,0.6,0.02,0.3,0.01,0.19,0.19,0.21,0.23,0.09,0.08,0.08,0.08,0.76,0.07,0.4,0.42,0.73,0.7,0.72,0.68,0.24,0.36,0.5,0.02,0.84,0.69,1,0.5,0.6,0.24,0.24,0.23,0.2,0.18,0.45,0.39,0.43,0.41,0.48,0.54,0.53,0.01,0,0.2,0.4,0.6,0.53,0.46,0.18,0.04,0.06,0.16
Cincinnaticity,0.57,0.29,0.74,0.4,0.07,0.01,0.41,0.56,0.39,0.44,0.58,1,0.16,0.39,0.15,0.37,0.47,0.7,0.42,0.19,0.25,0.35,0.19,0.15,0.31,0.25,0.36,0.78,0.65,0.35,0.53,0.35,0.51,0.39,0.34,0.59,0.37,0.46,0.71,0.71,0.7,0.74,0.48,0.14,0.18,0.14,0.18,0.44,0.4,0.74,0.96,0.07,0.48,0.48,0.52,0.53,0.09,0.08,0.08,0.07,0.92,0.04,0.34,0.23,0.27,0.43,0.24,0.26,0.17,0.76,0,0.79,0.65,0.22,0.61,0.5,0.13,0.37,0.3,0.11,0.11,0.12,0.15,0.2,0.23,0.17,0.46,0.3,0.4,0.58,0.05,0.08,0.72,0.5,0.79,0.76,0.22,0.39,0.63,0.64
Walnutcity,0.03,0.99,0.13,0.21,1,0.44,0.56,0.46,0.31,0.08,0.05,1,0.87,0.89,0.34,0.58,0.07,0.18,0.12,0.75,0.47,0.52,0.56,0.3,0.38,0.42,0.51,0.01,0.09,0.16,0.19,0.57,0.23,0.74,0.39,0.37,0.18,0.65,0.16,0.4,0.18,0.17,0.98,0.93,0.89,0.95,0.92,0.66,0.62,0,0.08,0.07,0.27,0.39,0.5,0.58,0.67,0.83,0.98,1,0.16,0.47,0.66,0.77,1,1,1,0.92,0.44,0.15,0.5,0.01,0.91,0.93,0.03,0.39,0.9,0.03,0.13,0.88,0.89,0.88,0.84,0.95,1,0.97,0.65,0.97,0.31,0,0,1,0.45,0.35,0.78,0.71,0.02,0.27,0.09,0.2
Greenvillecity,0.06,0.43,0.66,0.45,0.07,0.01,0.92,0.96,0.99,0.26,0.07,1,0.18,0.69,0.38,0.37,0.31,0.42,0.29,0.27,0.24,0.33,0.17,0.56,0.31,0.39,0.4,0.1,0.71,0.32,0.35,0.55,0.41,0.49,0.34,0.7,0.32,0.55,0.35,0.97,0.42,0.41,0.43,0.35,0.34,0.35,0.29,0.67,0.65,0.06,0.79,0.01,0.39,0.45,0.4,0.47,0.05,0.05,0.04,0.04,0.95,0.03,0.23,0.16,0.32,0.39,0.32,0.28,0.17,0.61,0,0.05,0.78,0.27,0.1,0.26,0.69,0.41,0.2,0.14,0.14,0.17,0.17,0.21,0.22,0.22,0.75,0.41,0.39,0.04,0.02,0.05,0.72,0.28,0.31,0.6,0.05,0.21,0.07,0.65
CopperasCovecity,0.02,0.61,0.32,0.62,0.23,0.16,0.55,0.71,0.49,0.06,0.04,1,0.21,0.88,0.29,0.29,0.1,0.19,0.7,0.17,0.15,0.15,0.21,0.24,0.15,0.25,0.25,0.03,0.31,0.13,0.19,0.21,0.51,0.65,0.1,0.48,0.3,0.31,0.31,0.19,0.4,0.37,0.6,0.78,0.76,0.81,0.6,0.47,0.42,0,0.06,0.01,0.4,0.44,0.43,0.47,0.21,0.2,0.18,0.18,0.78,0.08,0.23,0.25,0.67,0.65,0.68,0.35,0.26,0.41,0.5,0.06,0.44,0.38,0.04,0.57,0.77,0.32,1,0.1,0.09,0.08,0.25,0.26,0.27,0.29,0.55,0.52,0.36,0,0,0.21,0.18,0.18,0,0,0.02,0.21,0.01,0.17
Coronadocity,0.03,0.94,0.13,0.79,0.21,0.15,0.85,0.98,1,0.42,0.04,1,0.6,0.4,0.4,0.75,0.56,0.18,0.85,0.65,0.58,0.62,0.27,0.2,0.29,0.35,0.48,0.01,0.09,0.07,0.07,0.64,0.03,0.8,0.16,0.53,0.08,0.76,0.37,1,0.57,0.43,0.26,0.74,0.78,0.85,0.58,0.5,0.57,0,0.04,0.02,0.47,0.5,0.6,0.58,0.3,0.27,0.3,0.27,0.79,0.08,0.14,0.12,0.28,0.25,0.35,0.35,0.11,0.61,0,0.1,0.13,0.38,0.01,0.35,0.56,0.03,0.04,1,1,1,0.73,0.76,1,0.76,0.58,0.85,0.18,0,0,0.26,0.13,0.11,0,0,0.02,0.29,0.35,0.14
Uxbridgetown,0,0.49,0.01,0.99,0.02,0.01,0.36,0.44,0.26,0.4,0.01,0.6,0.47,0.63,0.22,0.51,0.53,0.3,0.51,0.47,0.39,0.38,0.68,0.11,0,0,0,0,0.14,0.33,0.4,0.31,0.41,0.59,0.59,0.38,0.46,0.36,0.24,0.39,0.3,0.28,0.54,0.82,0.8,0.82,0.67,0.48,0.66,0,0.12,0,0.1,0.32,0.26,0.25,0.02,0.04,0.03,0.03,0.9,0.01,0.24,0.25,0.55,0.6,0.39,0.7,0.07,0.4,0.5,0.01,0.83,0.66,0.2,0.39,0.25,0.08,0.25,0.36,0.35,0.33,0.27,0.41,0.47,0.44,0.37,0.53,0.51,0,0,0.06,0.8,0.65,0.75,0.79,0.08,0.03,0.01,0.27
Connersvillecity,0.01,0.35,0.05,0.96,0.01,0,0.47,0.46,0.31,0.56,0,0,0.17,0.36,0.26,0.41,0.7,0.44,0.64,0.21,0.19,0.18,0.27,0.28,1,0,0.22,0.02,0.37,0.58,0.68,0.11,0.74,0.3,0.9,0.27,0.9,0.22,0.74,0.31,0.68,0.74,0.39,0.48,0.5,0.59,0.51,0.53,0.66,0.01,0.13,0,0.07,0.05,0.12,0.1,0,0,0.01,0,0.98,0.02,0.16,0.15,0.36,0.36,0.38,0.55,0.09,0.62,0,0.02,0.76,0.55,0.35,0.62,0.19,0.77,0.45,0.04,0.03,0.03,0.12,0.13,0.12,0.14,0.3,0.05,0.37,0,0,0.02,0.78,0.61,0.81,0.83,0.02,0.17,0.04,0.12
Orangeburgcity,0.01,0.69,1,0.07,0.05,0.01,1,0.87,0.94,0.47,0,0,0.17,0.41,0.52,0.35,0.58,0.68,0.48,0.26,0.16,0.41,0.13,0.11,0.31,0.64,0.72,0.02,0.66,0.45,0.5,0.37,0.63,0.2,0.42,0.61,0.39,0.44,0.32,0.88,0.39,0.38,0.45,0.26,0.23,0.33,0.45,0.75,0.62,0.02,0.67,0,0.84,0.65,0.53,0.66,0.09,0.06,0.04,0.05,0.93,0.05,0.34,0.28,0.36,0.29,0.46,0.4,0.21,0.49,0.5,0.02,0.65,0.45,0.22,0.35,0.5,0.75,1,0.1,0.1,0.11,0.04,0.11,0.14,0.15,0.36,0.06,0.32,0,0,0.04,0.77,0.38,0.47,0.69,0.02,0.15,0,0.74
SouthMiamicity,0,0.37,0.58,0.49,0.11,0.44,0.3,0.43,0.27,0.44,0.02,1,0.33,0.59,0.4,0.42,0.41,0.29,0.38,0.38,0.41,0.54,0.19,0.23,0.47,0.2,0.51,0.01,0.39,0.24,0.35,0.5,0.32,0.56,0.14,0.72,0.18,0.6,0.66,0.6,0.7,0.71,0.56,0.41,0.29,0.35,0.4,0.51,0.49,0.02,0.77,0.02,0.24,0.23,0.36,0.41,0.38,0.32,0.46,0.48,0.48,0.32,0.53,0.4,0.41,0.49,0.31,0.57,0.4,0.59,0,0.01,0.82,0.52,0.91,0.37,0.4,0.16,0.14,0.22,0.24,0.27,0.36,0.36,0.4,0.36,0.67,0.56,0.61,0,0,0.68,0.32,0.64,0.77,0.62,0,0.38,0.42,0.73
Harrisontown,0.01,0.49,0.01,0.83,0.36,0.55,0.36,0.52,0.3,0.45,0.02,1,0.37,0.6,0.27,0.41,0.47,0.17,0.46,0.35,0.29,0.29,0.51,0.17,0.28,0.39,0.44,0.01,0.3,0.76,0.76,0.23,0.48,0.49,0.6,0.16,0.74,0.19,0.34,0.57,0.35,0.36,0.56,0.69,0.69,0.69,0.67,0.46,0.37,0.01,0.29,0.04,0.42,0.48,0.53,0.57,1,1,1,1,0.01,1,0.33,0.3,0.52,0.58,0.53,0.14,0.41,0.74,0,0.01,0.81,0.16,0.38,0.52,0.17,0.32,1,0.33,0.37,0.35,0.46,0.47,0.53,0.5,0.37,0.65,1,0,0,1,0.46,0.61,0.59,0.55,0,0.92,0.96,0.24
Prichardcity,0.04,0.67,1,0,0,0,0.62,0.54,0.36,0.35,0.05,1,0,0.28,0.11,0,0.56,1,0.38,0,0.02,0.1,0.14,0.13,0.02,0.12,0.29,0.13,1,0.6,0.82,0.06,1,0.12,0.38,0.47,0.7,0.12,0.71,0.62,0.81,0.81,0.78,0.01,0,0,0.02,0.41,0.33,0.11,1,0,1,0.97,0.79,0.67,0.02,0.01,0.01,0.01,0.96,0.02,0.63,0.61,0.7,0.64,0.77,0.44,0.38,0.5,0.5,0.1,0.37,0.48,1,0.84,0.4,0.8,0.8,0.03,0.03,0.03,0,0,0,0.06,1,0.64,0.92,0,0,0,0.94,0.66,0.95,0.88,0.07,0.11,0.18,1
Goshentownship,0,0.61,0.01,0.99,0.01,0,0.45,0.51,0.31,0.2,0.01,0.47,0.33,0.78,0.49,0.31,0.35,0.22,0.37,0.28,0.21,0.19,0.39,0.04,0,0.47,0.53,0.01,0.21,0.43,0.65,0.09,0.34,0.58,0.73,0.16,0.81,0.15,0.43,0.25,0.42,0.44,0.58,0.79,0.76,0.74,0.76,0.54,0.52,0,0.11,0,0,0.58,0.47,0.4,0,0.01,0.01,0,0.99,0.01,0.24,0.28,0.68,0.63,0.72,0.89,0.12,0.3,0.5,0.01,0.91,0.9,0.18,0.54,0.71,0.2,0.33,0.12,0.11,0.1,0.21,0.21,0.24,0.27,0.36,0.34,0.21,0,0,0,0.78,0.67,0.66,0.83,0.1,0.03,0.04,0.03
WestHollywoodcity,0.04,0,0.07,0.85,0.19,0.16,0,0.37,0.11,0.59,0.06,1,0.29,0.42,0.24,0.41,0.33,0.4,0.14,0.29,0.66,0.66,0.44,0.26,0.69,0.4,0.54,0.04,0.29,0.2,0.24,0.61,0.45,0.58,0.17,0.39,0.1,0.8,0.7,1,0.82,0.78,0.08,0.49,0.54,0.58,0.44,0.49,0.4,0.01,0.28,0.08,0.5,0.46,0.46,0.51,1,0.97,0.87,0.89,0.42,0.48,0.06,0,0,0,0,0,0.22,1,0,0.07,0.8,0.01,0.07,0.24,0.42,0.05,0.16,0.82,0.98,1,0.53,0.55,0.66,0.51,0.6,1,0.31,0.01,0.33,1,0.13,0.38,0.58,0.4,0,1,0.33,1
NewCastlecity,0.03,0.35,0.16,0.88,0.01,0.01,0.32,0.35,0.23,0.76,0,0,0.09,0.11,0.13,0.41,0.84,0.78,0.7,0.14,0.14,0.14,0.14,0.11,0.26,0.04,0.07,0.05,0.52,0.41,0.56,0.12,0.7,0.11,0.47,0.43,0.62,0.27,0.52,0.39,0.51,0.54,0.42,0.43,0.45,0.48,0.57,0.16,0.16,0.02,0.25,0,0.08,0.06,0.08,0.09,0.01,0.01,0.01,0.01,0.89,0.04,0.22,0.19,0.36,0.41,0.29,0.59,0.06,0.47,0.5,0.06,0.64,0.56,0.69,0.66,0,0.17,0.19,0.02,0.01,0.01,0.06,0.1,0.1,0.1,0.64,0.31,0.61,0.03,0,0.05,0.92,0.8,0.9,0.86,0.02,0.28,0.13,0.21
Columbuscity,0.27,0.47,0.74,0.37,0.08,0.05,0.49,0.57,0.4,0.34,0.27,0.97,0.21,0.54,0.16,0.28,0.43,0.47,0.61,0.22,0.23,0.32,0.19,0.19,0.3,0.22,0.32,0.29,0.49,0.39,0.49,0.25,0.45,0.48,0.38,0.43,0.46,0.38,0.61,0.45,0.73,0.71,0.49,0.41,0.39,0.44,0.36,0.48,0.49,0.18,0.47,0.04,0.42,0.4,0.42,0.4,0.1,0.08,0.08,0.07,0.89,0.05,0.23,0.22,0.46,0.46,0.49,0.41,0.21,0.49,0.5,0.27,0.72,0.43,0.21,0.37,0.54,0.49,0.25,0.1,0.1,0.11,0.11,0.19,0.23,0.21,0.44,0.36,0.29,0.15,0.04,0.1,0.5,0.44,0.56,0.4,0.63,0.07,0.08,0.25
Shivelycity,0.01,0.28,0.29,0.77,0.02,0.01,0.28,0.36,0.21,0.7,0.02,1,0.22,0.35,0.25,0.48,0.74,0.23,0.85,0.25,0.24,0.23,0.29,0.16,0.19,0.07,0.3,0.01,0.27,0.51,0.61,0.09,0.37,0.35,0.54,0.28,0.66,0.22,0.66,0.27,0.58,0.64,0.28,0.45,0.45,0.51,0.51,0.94,0.85,0.01,0.16,0,0,0.25,0.2,0.17,0,0.01,0.01,0.01,0.98,0.02,0.1,0.1,0.29,0.32,0.24,0.67,0.07,0.47,0.5,0.01,0.88,0.64,0.15,0.38,0.42,0.2,0.3,0.09,0.07,0.05,0.19,0.18,0.16,0.16,0.46,0.06,0.18,0,0,0.02,0.91,0.76,0.95,0.86,0.01,0.28,0.17,0.26
Tuscaloosacity,0.11,0.43,0.69,0.43,0.08,0.01,0.82,0.81,0.81,0.37,0.12,1,0.13,0.53,0.17,0.36,0.42,0.39,0.37,0.22,0.22,0.3,0.16,0.19,0.17,0.07,0.21,0.17,0.71,0.39,0.48,0.44,0.44,0.28,0.24,0.87,0.33,0.51,0.44,0.81,0.48,0.48,0.44,0.37,0.34,0.41,0.35,0.63,0.64,0.1,0.69,0.01,1,0.96,0.84,0.8,0.15,0.13,0.1,0.09,0.95,0.03,0.25,0.19,0.32,0.42,0.28,0.37,0.16,0.58,0,0.09,0.79,0.34,0.23,0.49,0.58,0.35,0.36,0.1,0.11,0.13,0.11,0.17,0.19,0.19,0.8,0.31,0.35,0.01,0.03,0.06,0.75,0.43,0.47,0.57,0.14,0.14,0.03,0.51
Indianolacity,0,0.48,0.01,0.99,0.02,0.01,0.64,0.58,0.5,0.43,0,0,0.28,0.54,1,0.58,0.53,0.2,0.43,0.31,0.24,0.23,0.04,0.21,0.08,0.23,0.13,0.01,0.18,0.2,0.23,0.34,0.16,0.64,0.24,0.5,0.34,0.37,0.37,0.41,0.37,0.38,0.42,0.69,0.74,0.81,0.6,0.86,0.96,0,0.07,0,0.19,0.35,0.28,0.24,0.01,0.01,0.01,0.01,0.98,0.01,0.12,0.12,0.4,0.51,0.22,0.63,0.06,0.52,0.5,0.01,0.88,0.56,0,0.2,0.56,0.14,0.11,0.13,0.11,0.09,0.17,0.21,0.21,0.18,0.23,0.2,0.32,0,0,0.01,0.88,0.49,0.55,0.84,0.02,0.11,0.04,0.01
Berlintown,0.01,0.51,0.01,0.98,0.06,0.02,0.31,0.33,0.21,0.54,0.02,0.79,0.62,0.56,0.63,0.75,0.61,0.09,0.67,0.61,0.51,0.5,0.14,0.23,0.33,0,0.75,0,0.06,0.22,0.29,0.36,0.22,0.62,0.41,0.38,0.3,0.5,0.24,0.35,0.21,0.22,0.5,0.89,0.89,0.94,0.82,0.73,0.78,0,0.06,0.01,0.06,0.11,0.2,0.21,0.04,0.06,0.1,0.09,0.74,0.07,0.12,0.14,0.55,0.57,0.27,0.9,0.03,0.23,0.5,0.01,0.91,0.87,0.17,0.65,0.42,0.03,0.09,0.51,0.49,0.48,0.35,0.44,0.53,0.5,0.26,0.46,0.64,0.04,0,0.26,0.79,0.86,0.92,0.91,0.07,0.05,0.02,0.03
Peterstownship,0.01,0.58,0.01,0.99,0.05,0.01,0.36,0.29,0.18,0.33,0.02,0.84,0.68,0.74,0.48,0.81,0.36,0.07,0.44,0.62,0.66,0.63,0.41,0,1,0.13,0.61,0,0.05,0.11,0.11,0.63,0.16,0.51,0.33,0.48,0.1,0.71,0.1,0.23,0.14,0.12,0.51,0.95,0.97,0.92,0.86,0.09,0.1,0,0.04,0,0.04,0.09,0.14,0.21,0.01,0.01,0.02,0.03,0.95,0.01,0.11,0.14,0.62,0.61,0.36,0.96,0.01,0.08,0.5,0.01,0.9,0.94,0.14,0.42,0.58,0.02,0.13,0.25,0.29,0.33,0.45,0.48,0.53,0.48,0.19,0.41,0.22,0,0,0.07,0.75,0.67,0.55,0.69,0.05,0.06,0.28,0.01
LaPortecity,0.03,0.65,0.14,0.78,0.06,0.26,0.47,0.49,0.27,0.13,0.04,1,0.5,0.84,0.37,0.38,0.21,0.18,0.25,0.46,0.32,0.32,0.26,0.23,0.28,0.3,0.33,0.02,0.22,0.22,0.3,0.22,0.3,0.67,0.55,0.31,0.45,0.34,0.6,0.24,0.53,0.58,0.67,0.76,0.74,0.83,0.69,0.44,0.4,0.01,0.13,0.01,0.19,0.23,0.25,0.32,0.06,0.06,0.06,0.07,0.79,0.09,0.33,0.35,0.7,0.69,0.67,0.66,0.29,0.31,0.5,0.04,0.67,0.66,0.22,0.61,0.75,0.29,0.33,0.11,0.09,0.08,0.29,0.29,0.33,0.34,0.26,0.3,0.4,0,0,0.13,0.63,0.47,0.78,0.78,0.05,0.12,0,0.16
Beaumontcity,0.17,0.43,0.8,0.31,0.1,0.08,0.43,0.47,0.31,0.44,0.18,1,0.21,0.47,0.26,0.38,0.52,0.45,0.39,0.25,0.26,0.39,0.18,0.2,0.34,0.27,0.32,0.21,0.56,0.34,0.42,0.31,0.51,0.38,0.31,0.56,0.36,0.42,0.67,0.41,0.69,0.71,0.51,0.43,0.41,0.52,0.38,0.49,0.51,0.11,0.41,0.02,0.5,0.47,0.53,0.58,0.11,0.09,0.1,0.1,0.87,0.08,0.35,0.3,0.43,0.45,0.43,0.52,0.21,0.54,0.5,0.3,0.52,0.51,0.56,0.68,0.48,0.48,0.38,0.05,0.05,0.08,0.15,0.19,0.21,0.22,0.51,0.23,0.47,0.07,0.12,0.09,0.73,0.59,0.77,0.83,0.23,0.12,0.08,0.52
Gilberttown,0.03,0.68,0.03,0.86,0.1,0.21,0.48,0.58,0.31,0.05,0.05,0.98,0.49,0.86,0.59,0.41,0.11,0.12,0.17,0.44,0.33,0.33,0.31,0.11,0.33,0.3,0.34,0.02,0.15,0.1,0.13,0.47,0.23,0.8,0.44,0.36,0.28,0.47,0.35,0.32,0.43,0.41,0.74,0.8,0.84,0.84,0.74,0.44,0.51,0.01,0.14,0.01,0.32,0.44,0.44,0.4,0.09,0.11,0.1,0.08,0.84,0.07,0.52,0.53,0.75,0.82,0.53,0.68,0.23,0.35,0.5,0.07,0.5,0.63,0.07,0.32,0.98,0.1,0.06,0.24,0.25,0.25,0.37,0.35,0.41,0.35,0.36,0.72,0.43,0,0,0.12,0.3,0.01,0.33,0.02,0.08,0.09,0.03,0.1
Casselberrycity,0.01,0.36,0.05,0.91,0.09,0.15,0.35,0.48,0.3,0.43,0.03,1,0.32,0.68,0.28,0.39,0.41,0.18,0.48,0.3,0.3,0.29,0.27,0.15,0.21,0.28,0.33,0.01,0.15,0.17,0.29,0.27,0.22,0.69,0.2,0.22,0.27,0.32,0.69,0.38,0.75,0.75,0.39,0.61,0.6,0.76,0.61,0.45,0.57,0,0.08,0.01,0.17,0.17,0.18,0.33,0.09,0.08,0.07,0.13,0.77,0.13,0.18,0.16,0.4,0.38,0.43,0.57,0.13,0.43,0.5,0.03,0.74,0.58,0.07,0.2,0.75,0.11,0,0.17,0.15,0.13,0.44,0.42,0.43,0.44,0.51,0.44,0.26,0,0,0.22,0.15,0.44,0.33,0.38,0.02,0.26,0.02,0.24
Cartersvillecity,0,0.37,0.34,0.72,0.02,0.02,0.41,0.45,0.33,0.56,0,0,0.23,0.48,0.14,0.38,0.59,0.47,0.38,0.26,0.31,0.35,0.18,0.01,0.3,0.2,0.44,0.02,0.39,0.68,0.69,0.21,0.34,0.47,0.76,0.29,0.72,0.34,0.63,0.32,0.58,0.63,0.42,0.5,0.48,0.47,0.36,0.75,0.74,0.01,0.32,0,0.34,0.25,0.39,0.41,0.02,0.01,0.02,0.02,0.96,0.04,0.16,0.15,0.37,0.41,0.36,0.49,0.13,0.49,0.5,0.02,0.68,0.48,0.06,0.43,0.6,0.64,0.32,0.12,0.13,0.15,0.11,0.2,0.24,0.22,0.46,0.37,0.29,0,0,0.02,0.81,0.5,0.71,0.76,0.07,0.04,0.01,0.3
Clevelandcity,0.8,0.37,0.91,0.23,0.06,0.08,0.39,0.49,0.31,0.46,0.8,1,0.1,0.24,0.09,0.22,0.56,1,0.51,0.13,0.14,0.19,0.19,0.16,0.18,0.23,0.23,1,0.76,0.43,0.73,0.11,0.99,0.19,0.53,0.42,0.67,0.2,0.83,0.65,0.78,0.84,0.55,0.08,0.1,0.11,0.1,0.24,0.17,1,0.99,0.14,0.26,0.29,0.32,0.34,0.07,0.07,0.07,0.07,0.82,0.13,0.42,0.33,0.39,0.45,0.38,0.36,0.13,0.61,0,1,0.54,0.35,1,0.66,0,0.54,0.43,0.05,0.04,0.04,0.09,0.14,0.15,0.16,0.66,0.33,0.49,0.34,0.24,0.12,0.7,0.67,0.91,0.85,0.22,0.55,0.8,0.69
Northboroughtown,0,0.59,0.01,0.93,0.24,0.02,0.38,0.39,0.24,0.22,0.02,0.81,0.76,0.81,0.23,0.73,0.25,0.14,0.28,0.71,0.61,0.59,1,0.3,0.48,0.68,0.88,0,0.06,0.08,0.15,0.69,0.25,0.76,0.58,0.41,0.18,0.69,0.24,0.36,0.29,0.27,0.58,0.89,0.92,0.97,0.8,0.47,0.57,0,0.08,0.01,0.35,0.57,0.68,0.59,0.19,0.27,0.3,0.24,0.88,0.07,0.17,0.19,0.63,0.67,0.34,0.84,0.03,0.24,0.5,0,0.91,0.8,0.06,0.51,0.56,0.01,0.14,0.48,0.47,0.48,0.45,0.6,0.79,0.64,0.24,0.47,0.44,0,0,0.23,0.69,0.69,0.61,0.75,0.05,0.05,0.03,0.09
Bedfordcity,0.01,0.31,0.01,0.99,0.02,0,0.35,0.38,0.24,0.68,0,0,0.2,0.29,0.27,0.46,0.71,0.22,0.68,0.22,0.24,0.23,0.19,0.03,0.29,0,0.18,0.01,0.29,0.36,0.53,0.16,0.36,0.29,0.57,0.46,0.67,0.34,0.55,0.23,0.56,0.58,0.33,0.61,0.61,0.67,0.71,0.62,0.46,0,0.05,0,0.35,0.26,0.46,0.61,0.01,0.01,0.02,0.02,0.98,0.02,0.1,0.1,0.29,0.32,0.26,0.66,0.08,0.62,0,0.02,0.75,0.64,0.17,0.6,0.21,0.56,0.33,0.04,0.04,0.05,0.09,0.14,0.13,0.13,0.35,0.16,0.28,0,0,0.01,0.86,0.61,0.77,0.82,0.03,0.1,0.02,0.22
Plainfieldcity,0.06,0.66,1,0,0.06,0.28,0.42,0.55,0.36,0.29,0.07,1,0.44,0.67,0.06,0.32,0.37,0.44,0.32,0.42,0.33,0.46,0.35,0.22,0.35,0.3,0.33,0.05,0.32,0.37,0.49,0.29,0.57,0.61,0.49,0.41,0.66,0.31,0.54,0.7,0.62,0.61,0.74,0.27,0.21,0.38,0.24,0.79,0.8,0.09,1,0.05,0.53,0.7,0.71,0.71,0.55,0.64,0.6,0.55,0.68,0.4,0.73,0.67,0.69,0.77,0.62,0.41,0.48,0.54,0.5,0.05,0.78,0.39,0.42,0.49,0.19,0.44,0.39,0.33,0.35,0.33,0.52,0.53,0.58,0.54,0.53,0.69,0.71,0,0.04,0.45,0.48,0.62,0.67,0.66,0.02,0.64,0.4,0.65
Uniontownship,0.06,0.44,0.18,0.8,0.2,0.08,0.33,0.38,0.27,0.73,0.08,1,0.51,0.47,0.07,0.68,0.73,0.12,0.68,0.54,0.46,0.45,0.38,0.79,0.42,0.58,0.57,0.02,0.09,0.36,0.43,0.34,0.25,0.49,0.36,0.4,0.3,0.44,0.22,0.43,0.24,0.24,0.44,0.78,0.78,0.91,0.76,0.55,0.54,0.01,0.12,0.05,0.13,0.19,0.23,0.26,0.14,0.17,0.19,0.2,0.65,0.17,0.18,0.18,0.44,0.49,0.24,0.79,0.05,0.37,0.5,0.02,0.94,0.74,0.22,0.64,0.25,0.04,0.13,0.49,0.45,0.4,0.51,0.52,0.63,0.54,0.49,0.59,0.82,0.01,0,0.44,0.71,0.88,0.73,0.88,0.02,0.46,0.32,0.17
Holbrooktown,0,0.52,0.06,0.94,0.06,0.02,0.37,0.48,0.32,0.42,0.02,1,0.43,0.61,0.16,0.42,0.54,0.36,0.51,0.44,0.35,0.35,0.27,0,0.19,0.46,0.22,0.01,0.15,0.17,0.28,0.25,0.49,0.57,0.32,0.4,0.43,0.32,0.28,0.48,0.33,0.32,0.6,0.75,0.75,0.68,0.64,0.53,0.5,0,0.11,0,0.04,0.06,0.1,0.14,0.02,0.02,0.03,0.04,0.85,0.04,0.33,0.32,0.56,0.67,0.23,0.79,0.07,0.39,0.5,0,0.93,0.71,0.15,0.32,0.35,0.05,0.21,0.37,0.34,0.3,0.23,0.49,0.58,0.48,0.69,0.53,0.69,0,0,0.17,0.89,0.88,0.78,0.97,0.02,0.12,0.42,0.09
